Eskişehir,Alpu,11822.0,10974,10072
Eskişehir,Beylikova,6083.0,6400,5723
Eskişehir,Günyüzü,6000.0,5671,5261
Eskişehir,Han,2040.0,2117,2164
Eskişehir,Mahmudiye,8221.0,7808,7524
Eskişehir,Mihalgazi,4412.0,3138,2934
Eskişehir,Mihalıççık,9302.0,8171,7959
Eskişehir,Odunpazarı,376650.0,422423,426581
Eskişehir,Sarıcakaya,5610.0,4854,4534
Eskişehir,Seyitgazi,14240.0,13009,12878
Eskişehir,Sivrihisar,21790.0,20330,20258
Eskişehir,Tepebaşı,323631.0,370150,394734
Eskişehir,Çifteler,15513.0,14878,14814
Eskişehir,İnönü,7006.0,6514,6194
Gaziantep,Araban,31835.0,32761,32832
Gaziantep,Karkamış,10438.0,9806,9512
Gaziantep,Nizip,136365.0,143994,151246
Gaziantep,Nurdağı,37719.0,40221,38701
Gaziantep,Oğuzeli,29526.0,31879,37027
Gaziantep,Yavuzeli,21333.0,22205,23329
Gaziantep,İslahiye,65869.0,67023,65208
Gaziantep,Şahinbey,845528.0,939497,946812
Gaziantep,Şehitkamil,710853.0,794931,888696
Giresun,Alucra,12948.0,10253,9025
Giresun,Bulancak,62644.0,67582,70683
Giresun,Dereli,20615.0,19731,20180
Giresun,Doğankent,6552.0,6613,6588
Giresun,Espiye,32710.0,35649,38840
Giresun,Eynesil,13280.0,13293,12678
Giresun,Giresun Merkez,126172.0,138858,144158
Giresun,Görele,31367.0,31862,31661
Giresun,Güce,8371.0,7992,8303
Giresun,Keşap,20180.0,19630,20186
Giresun,Piraziz,13292.0,14310,14162
Giresun,Tirebolu,30695.0,31854,32720
Giresun,Yağlıdere,16292.0,15793,14857
Giresun,Çamoluk,6542.0,8289,6258
Giresun,Çanakçı,6644.0,6232,6117
Giresun,Şebinkarahisar,21680.0,20459,19506
Gümüşhane,Gümüşhane Merkez,52628.0,56398,54341
Gümüşhane,Kelkit,42415.0,52608,38922
Gümüşhane,Köse,7971.0,8349,6727
Gümüşhane,Kürtün,12229.0,13376,12707
Gümüşhane,Torul,11495.0,12504,10762
Gümüşhane,Şiran,19615.0,21286,19158
Hakkâri,Derecik,,23377,25209
Hakkâri,Hakkâri Merkez,79335.0,78672,76630
Hakkâri,Yüksekova,117440.0,118915,121153
Hakkâri,Çukurca,16251.0,16141,15628
Hakkâri,Şemdinli,63261.0,43886,43571
Hatay,Altınözü,61341.0,60745,68500
Hatay,Antakya,354768.0,383354,299586
Hatay,Arsuz,81001.0,92749,109550
Hatay,Belen,30577.0,33313,35755
Hatay,Defne,137398.0,154820,140950
Hatay,Dörtyol,117053.0,125138,131528
Hatay,Erzin,41233.0,41463,42420
Hatay,Hassa,54146.0,56519,56541
Hatay,Kumlu,13345.0,13686,15155
Hatay,Kırıkhan,107994.0,116876,107103
Hatay,Payas,39857.0,42477,44073
Hatay,Reyhanlı,89980.0,100151,115566
Hatay,Samandağ,118373.0,122223,121660
Hatay,Yayladağı,27800.0,37000,41872
Hatay,İskenderun,244970.0,248380,231926
Isparta,Aksu,5130.0,4557,4148
Isparta,Atabey,5593.0,5761,6090
Isparta,Eğirdir,33064.0,31632,30053
Isparta,Gelendost,16133.0,15298,14235
Isparta,Gönen,7649.0,6883,6877
Isparta,Isparta Merkez,228730.0,264426,272797
Isparta,Keçiborlu,14329.0,14152,14129
Isparta,Senirkent,12592.0,11395,10659
Isparta,Sütçüler,11464.0,10295,9470
Isparta,Uluborlu,7165.0,6287,6344
Isparta,Yalvaç,48803.0,46688,44777
Isparta,Yenişarbademli,2359.0,2087,2251
Isparta,Şarkikaraağaç,25769.0,25151,24579
Iğdır,Aralık,21843.0,21313,19485
Iğdır,Iğdır Merkez,132110.0,140267,152454
Iğdır,Karakoyunlu,13929.0,13925,12736
Iğdır,Tuzluca,24174.0,23937,22182
Kahramanmaraş,Afşin,82122.0,80447,78836
Kahramanmaraş,Andırın,35298.0,32503,32059
Kahramanmaraş,Dulkadiroğlu,218029.0,222673,217530
Kahramanmaraş,Ekinözü,12526.0,11221,10047
Kahramanmaraş,Elbistan,142168.0,141534,130246
Kahramanmaraş,Göksun,52142.0,52255,49576
Kahramanmaraş,Nurhak,13068.0,12279,11824
Kahramanmaraş,Onikişubat,371394.0,431848,436385
Kahramanmaraş,Pazarcık,69320.0,69097,67057
Kahramanmaraş,Türkoğlu,68423.0,77112,78047
Kahramanmaraş,Çağlayancerit,24548.0,23133,22498
Karabük,Eflani,8918.0,8823,9173
Karabük,Eskipazar,12544.0,12996,13099
Karabük,Karabük Merkez,127658.0,133615,134810
Karabük,Ovacık,3168.0,4274,4509
Karabük,Safranbolu,58295.0,68440,69441
Karabük,Yenice,20750.0,20310,19446
Karaman,Ayrancı,8713.0,7965,7342
Karaman,Başyayla,3861.0,3650,3292
Karaman,Ermenek,29957.0,28565,27988
Karaman,Karaman Merkez,181383.0,197276,207686
Karaman,Kazımkarabekir,4302.0,4328,4683
Karaman,Sarıveliler,12146.0,11495,11800
Kars,Akyaka,11375.0,10584,9693
Kars,Arpaçay,18737.0,16645,14143
Kars,Digor,24932.0,21730,18528
Kars,Kars Merkez,111278.0,116712,120948
Kars,Kağızman,46687.0,45505,43331
Kars,Sarıkamış,47231.0,41280,36293
Kars,Selim,24924.0,22910,20725
Kars,Susuz,11302.0,10044,8639
Kastamonu,Abana,4175.0,4113,4419
Kastamonu,Araç,19038.0,18670,18452
Kastamonu,Azdavay,7154.0,7324,7462
Kastamonu,Ağlı,2980.0,3094,3250
Kastamonu,Bozkurt,9292.0,9468,9425
Kastamonu,Cide,20613.0,22196,22587
Kastamonu,Daday,9186.0,8319,7992
Kastamonu,Devrekani,12728.0,12658,12544
Kastamonu,Doğanyurt,6464.0,5651,5173
Kastamonu,Hanönü,3976.0,4060,4322
Kastamonu,Kastamonu Merkez,137391.0,152553,156638
Kastamonu,Küre,6588.0,5774,5303
Kastamonu,Pınarbaşı,5590.0,5841,6036
Kastamonu,Seydiler,4015.0,4014,4627
Kastamonu,Taşköprü,38775.0,37815,37196
Kastamonu,Tosya,40599.0,39916,39401
Kastamonu,Çatalzeytin,6551.0,7055,7626
Kastamonu,İhsangazi,6104.0,5381,5122
Kastamonu,İnebolu,22918.0,20980,20036
Kastamonu,Şenpazar,4770.0,4523,4380
Kayseri,Akkışla,6234.0,5999,5738
Kayseri,Bünyan,27944.0,30113,30486
Kayseri,Develi,64550.0,66250,67676
Kayseri,Felahiye,6451.0,5569,5781
Kayseri,Hacılar,12290.0,12443,13270
Kayseri,Kocasinan,384203.0,400726,416214
Kayseri,Melikgazi,537035.0,582055,589989
Kayseri,Pınarbaşı,25293.0,22900,21567
Kayseri,Sarıoğlan,14521.0,14107,13943
Kayseri,Sarız,10529.0,9537,9853
Kayseri,Talas,128414.0,165127,171689
Kayseri,Tomarza,24131.0,22028,20832
Kayseri,Yahyalı,36578.0,36208,35558
Kayseri,Yeşilhisar,15864.0,15935,15674
Kayseri,Özvatan,3934.0,4164,4067
Kayseri,İncesu,24405.0,28567,30181
Kilis,Elbeyli,5982.0,5986,5830
Kilis,Kilis Merkez,103531.0,118033,133225
Kilis,Musabeyli,13962.0,13334,12612
Kilis,Polateli,5306.0,5137,5072
Kocaeli,Başiskele,79625.0,116650,124998
Kocaeli,Darıca,173139.0,207345,231442
Kocaeli,Derince,133739.0,142849,147518
Kocaeli,Dilovası,45714.0,50551,54664
Kocaeli,Gebze,338412.0,382166,411800
Kocaeli,Gölcük,149238.0,165663,178872
Kocaeli,Kandıra,49203.0,51897,53394
Kocaeli,Karamürsel,54225.0,57557,59504
Kocaeli,Kartepe,104882.0,121326,147814
Kocaeli,Körfez,146210.0,169304,181666
Kocaeli,Çayırova,109698.0,134146,157503
Kocaeli,İzmit,338710.0,367990,380831
Konya,Ahırlı,4722.0,4753,4666
Konya,Akören,6390.0,5838,5857
Konya,Akşehir,94133.0,93885,93719
Konya,Altınekin,14357.0,14351,14593
Konya,Beyşehir,71366.0,74469,76629
Konya,Bozkır,27457.0,25894,25199
Konya,Cihanbeyli,54892.0,51748,50021
Konya,Derbent,4612.0,4267,4014
Konya,Derebucak,7272.0,6031,5540
Konya,Doğanhisar,17683.0,15810,14445
Konya,Emirgazi,9135.0,8535,7739
Konya,Ereğli,139131.0,146998,156253
Konya,Güneysınır,9769.0,9288,9287
Konya,Hadim,13260.0,12015,11049
Konya,Halkapınar,4519.0,4066,4009
Konya,Hüyük,16296.0,15652,15033
Konya,Ilgın,55790.0,54228,53239
Konya,Kadınhanı,33065.0,32144,31494
Konya,Karapınar,48968.0,49978,51324
Konya,Karatay,295332.0,338976,385432
Konya,Kulu,50675.0,50825,51794
Konya,Meram,340817.0,344546,348071
Konya,Sarayönü,26355.0,27026,28533
Konya,Selçuklu,584644.0,662808,700358
Konya,Seydişehir,63773.0,64822,66067
Konya,Taşkent,6620.0,6296,5931
Konya,Tuzlukçu,6890.0,6529,6127
Konya,Yalıhüyük,1666.0,1710,1678
Konya,Yunak,23956.0,21972,20646
Konya,Çeltik,10209.0,9713,9726
Konya,Çumra,65054.0,67282,68551
Kütahya,Altıntaş,17071.0,16108,14985
Kütahya,Aslanapa,10249.0,8945,8082
Kütahya,Domaniç,15424.0,14652,13941
Kütahya,Dumlupınar,2986.0,2944,2803
Kütahya,Emet,21506.0,19864,17811
Kütahya,Gediz,51185.0,50274,49240
Kütahya,Hisarcık,13438.0,12069,10840
Kütahya,Kütahya Merkez,253175.0,272367,275111
Kütahya,Pazarlar,5335.0,5086,4816
Kütahya,Simav,64899.0,63155,60866
Kütahya,Tavşanlı,101899.0,101460,101130
Kütahya,Çavdarhisar,7349.0,6303,5752
Kütahya,Şaphane,7038.0,6030,5701
Kırklareli,Babaeski,49121.0,47944,46656
Kırklareli,Demirköy,8566.0,8856,8970
Kırklareli,Kofçaz,2707.0,2308,2156
Kırklareli,Kırklareli Merkez,92514.0,103042,114800
Kırklareli,Lüleburgaz,140236.0,149184,156648
Kırklareli,Pehlivanköy,3965.0,3505,3278
Kırklareli,Pınarhisar,18914.0,18456,17499
Kırklareli,Vize,27700.0,28541,29024
Kırıkkale,Bahşili,6910.0,7399,7423
Kırıkkale,Balışeyh,6100.0,6478,6060
Kırıkkale,Delice,8914.0,9075,10200
Kırıkkale,Karakeçili,4077.0,3369,3124
Kırıkkale,Keskin,17814.0,17620,16265
Kırıkkale,Kırıkkale Merkez,197037.0,198477,192558
Kırıkkale,Sulakyurt,7089.0,6953,6145
Kırıkkale,Yahşihan,20833.0,31013,38530
Kırıkkale,Çelebi,2318.0,2633,2748
Kırşehir,Akpınar,7874.0,7465,6918
Kırşehir,Akçakent,4184.0,3889,3438
Kırşehir,Boztepe,5365.0,5464,5229
Kırşehir,Kaman,37421.0,35763,33469
Kırşehir,Kırşehir Merkez,134367.0,157635,163349
Kırşehir,Mucur,18633.0,18536,18235
Kırşehir,Çiçekdağı,14863.0,14186,13908
Malatya,Akçadağ,29573.0,29064,32609
Malatya,Arapgir,10796.0,10275,10214
Malatya,Arguvan,8162.0,7626,7106
Malatya,Battalgazi,299863.0,304787,276319
Malatya,Darende,28060.0,26166,25524
Malatya,Doğanyol,4440.0,4051,4078
Malatya,Doğanşehir,40064.0,38690,35947
Malatya,Hekimhan,19946.0,18345,18015
Malatya,Kale,5677.0,6085,6189
Malatya,Kuluncak,8320.0,7783,7623
